verified_record_id,loan_id,borrower_id,original_principal,current_balance,interest_rate,payment_status,borrower_state,validation_status,reviewer_decision,verified_by,verified_at,record_hash
2625,BW-08301942-11174,BW-08301942-11174,36735.37,25880.05,8.66,LATE_60,CO,RESOLVED_EXCEPTION,AI_ACCEPTED,rev_priya,2026-08-30T17:12:28.826880+00:00,25c6ba94b19060229f25f72fe63c0c30745b52d631d728c61f4368932fe2fd15
1650,LN-08301942-11183,BW-08301942-11183,291894.58,105185.35,5.99,CURRENT,DE,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,7271db0fa5b1808cf94180205c188ecb873fc9db4f36a75cf1a5cda486fd2321
1651,LN-08301942-11184,BW-08301942-11184,254752.6,62041.53,17.56,CURRENT,LA,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,5154bbd6fe333bc0169293183eae1d146a66cc7371005ecb7679c8b957a4567f
1652,LN-08301942-11185,BW-08301942-11185,74530.53,12739.67,11.48,CURRENT,NJ,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,57f4c9491daf7ab6babfe271334424adcd74959d6653659b8dcf4f60409f8262
1653,LN-08301942-11186,BW-08301942-11186,148459.53,46496.89,15.92,CURRENT,MO,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,523a8ff83a6b1f63a0288eea677a0a8c3032a69d2883f5c4e852794b7b223649
1654,LN-08301942-11187,BW-08301942-11187,128714.79,74268.05,17.83,CURRENT,RI,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,dccb7d33a4650fa456b99ae38c1eb3e2322999b8d4ace2d2f800a6b0f6fd6d45
1655,LN-08301942-11188,BW-08301942-11188,169531.19,57217.77,17.21,CURRENT,AL,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,b4e4e546fd7af702304ce8695bc4f04853cd688c2243c5ba9431b2250c095dd3
1656,LN-08301942-11189,BW-08301942-11189,294050.01,47655.69,9.17,CURRENT,LA,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,9fb99025134fe1001671689236f8b1b69721bb3f7d104ad81ef0e7a98369f6bb
1657,LN-08301942-11190,BW-08301942-11190,45686.41,23969.21,4.84,CURRENT,VA,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,b623db66b6963781bc3f87ac68e6a1e3731194cf1ea1e862c219faa7211b91d9
1658,LN-08301942-11191,BW-08301942-11191,275908.24,93099.51,16.18,CURRENT,FL,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,ebf5b3db05176a9b73a663ddd0101ca923dfd9abbd018d5fd7b5be076a4ba886
1659,LN-08301942-11193,BW-08301942-11193,117004.86,56694.84,9.18,CURRENT,HI,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,622b0e7cd28d44c14061a6aebe85558105291929306cea361140cd5def8525cf
1660,LN-08301942-11195,BW-08301942-11195,197264.47,92545.99,12.88,CURRENT,NV,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,aba2618b4454e1aa42f119e198816f7974bce6778b8b20a73e24d06a8636c170
1661,LN-08301942-11196,BW-08301942-11196,45450.65,15737.33,8.86,CURRENT,OR,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,57768bad9859bb5d4dda981ae1348fbc103ad8cd5d30c5906f7dcbe543c10864
1662,LN-08301942-11197,BW-08301942-11197,69446.49,25103.2,6.58,CURRENT,WA,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,ce8001d5bd643759375f10c7967ec0149c28719382462b504a21fc0244b2e342
1663,LN-08301942-11198,BW-08301942-11198,242482.06,63545.41,15.65,CURRENT,PA,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,bb310c3c0222461dc350d5377a95ef362bd2eb38e83ee82e3160c062dab2fa16
1664,LN-08301942-11199,BW-08301942-11199,46221.65,38609.23,12.7,CURRENT,KS,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,9ba259117d55e934583072a1815bb14ddf43a35a894a29c98b2e76e8d898f892
1665,LN-08301942-10002,BW-08301942-10002,168580.6,82362.99,6.96,CURRENT,NC,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,30c08352d38c91b902ddd4ca044b69031cd3e7ebb45c2dfd8e9d8844113b937b
1666,LN-08301942-10006,BW-08301942-10006,91832.51,30834.92,14.76,CURRENT,MN,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,813fd837f72af58a0ef610d11135bd5222bff2c22da9b4d7ead2ee1953e009e0
1667,LN-08301942-10007,BW-08301942-10007,194260.87,54456.1,6.12,CURRENT,ID,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,19dd523e5fb33f981ab703969f69b555d42b7381ff16bbbb9eaa93068250141f
1668,LN-08301942-10008,BW-08301942-10008,52209.61,19551.99,9.29,CURRENT,VT,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,6f759718a289994754b2fa1808f23ab9a0989be51209b658f3c1073f9bcf5d7f
1669,LN-08301942-10009,BW-08301942-10009,131264.72,31153.67,16.93,CURRENT,MT,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,50df30aff7892b35688279677197048fa2e51fc47ec74e7e4872dab8a9758dc3
1670,LN-08301942-10010,BW-08301942-10010,135344.93,27540.69,5.39,CURRENT,LA,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,5b2ecec9b27a477525f8c699a131486278a3d499125eb27ffb91f99377637813
1671,LN-08301942-10011,BW-08301942-10011,293189.8,161385.54,11.67,CURRENT,WI,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,5aceffac68cbba9d1607dba69fc1e68367b21ffe4edf48c04af226847f87415d
1672,LN-08301942-10012,BW-08301942-10012,123921.34,63211.53,4.71,CURRENT,SC,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,7d51055688cbf05de99898c8c8df7b6f78de95664dfb39307df816e2ffeddb17
1673,LN-08301942-10013,BW-08301942-10013,217178.32,119320.65,16.74,CURRENT,TX,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,bac81aa91472f24eb0f405fd1ed0581d68619fb983a9014b613a7c4b542e43ea
1674,LN-08301942-10014,BW-08301942-10014,30827.06,19501.15,8.49,CURRENT,AR,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,a4be9eca6068d12896c9fa299834776c75f728f3744e39609ae644edcc7a5b42
1675,LN-08301942-10016,BW-08301942-10016,36385.63,25737.77,6.71,CURRENT,ND,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,fded187f7b3b189e3d5f9881a7d9c019fc5edfaacfb4bf8bf5045a81145482b5
1676,LN-08301942-10017,BW-08301942-10017,263799.35,71198.04,8.4,CURRENT,CO,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,62fee003e94e8fee373ac3a11f69bdd0dbbb48e09ef6b971faee95e13ac3d7ab
1677,LN-08301942-10018,BW-08301942-10018,298223.57,209954.87,15.13,CURRENT,NC,PASSED_CLEAN,AUTO_PASSED,SYSTEM,2026-08-30T17:07:55.695412+00:00,50718b0f8b60543b85b17883febedc7a703373cf2a66d4da2fc9ce6dcddccabd
