loan_id,promissory_note_present,id_proof_present,income_verification_present,document_verification_status,uploaded_at,legacy_servicer_code,ocr_confidence_score
LN-08270910-10001,FALSE,TRUE,FALSE,PENDING,2023-07-01,,
LN-08270910-10002,TRUE,TRUE,TRUE,VERIFIED,2023-01-18,LEGACY-CODE-5272,
LN-08270910-10003,,,TRUE,PENDING,2024-05-10,,
LN-08270910-10004,,TRUE,FALSE,PENDING,2023-04-08,,0.65
LN-08270910-10004,FALSE,FALSE,TRUE,PENDING,2023-02-28,,
LN-08270910-10006,,TRUE,FALSE,PENDING,2023-12-07,,
LN-08270910-10007,TRUE,TRUE,TRUE,VERIFIED,2023-08-01,,
LN-08270910-10008,TRUE,TRUE,,PENDING,2023-07-31,,
LN-08270910-10009,,,TRUE,PENDING,2023-05-22,,
LN-08270910-10010,TRUE,TRUE,,PENDING,2023-11-27,,0.67
LN-08270910-10011,TRUE,TRUE,TRUE,VERIFIED,2023-09-21,LEGACY-CODE-9081,
LN-08270910-10012,TRUE,TRUE,TRUE,VERIFIED,2023-03-28,,
LN-08270910-10013,FALSE,,,PENDING,2023-06-28,,
LN-08270910-10014,TRUE,TRUE,,PENDING,2023-09-12,LEGACY-CODE-9953,
LN-08270910-10015,TRUE,TRUE,TRUE,VERIFIED,2023-02-27,,
LN-08270910-10016,TRUE,TRUE,TRUE,VERIFIED,2023-10-11,,
LN-08270910-10017,TRUE,,,PENDING,2023-03-19,,0.85
LN-08270910-10018,TRUE,TRUE,TRUE,VERIFIED,2023-10-13,LEGACY-CODE-9993,
LN-08270910-10019,FALSE,FALSE,FALSE,PENDING,2023-09-15,,
LN-08270910-10020,FALSE,FALSE,FALSE,PENDING,2023-08-06,,0.61
LN-08270910-10021,TRUE,TRUE,FALSE,PENDING,2023-10-11,,
LN-08270910-10022,TRUE,TRUE,TRUE,VERIFIED,2023-03-09,LEGACY-CODE-1531,
LN-08270910-10023,TRUE,TRUE,TRUE,VERIFIED,2023-08-12,,0.51
LN-08270910-10024,TRUE,FALSE,TRUE,PENDING,2023-05-13,LEGACY-CODE-8819,
LN-08270910-10025,FALSE,FALSE,FALSE,PENDING,2023-08-05,,
LN-08270910-10026,TRUE,TRUE,,PENDING,2023-09-29,,
LN-08270910-10027,FALSE,TRUE,TRUE,PENDING,2023-01-19,,
LN-08270910-10027,FALSE,TRUE,TRUE,INCOMPLETE,2023-01-19,,
LN-08270910-10028,TRUE,TRUE,TRUE,PENDING,2023-07-24,LEGACY-CODE-2258,0.95
LN-08270910-10029,TRUE,TRUE,,PENDING,2023-06-05,,
LN-08270910-10030,TRUE,FALSE,,PENDING,2023-06-30,,
LN-08270910-10031,TRUE,TRUE,TRUE,VERIFIED,2023-11-11,LEGACY-CODE-6779,
LN-08270910-10032,,,,PENDING,2023-07-01,,0.92
LN-08270910-10033,,TRUE,TRUE,PENDING,2023-04-05,,
LN-08270910-10034,FALSE,FALSE,,PENDING,2023-02-19,,
LN-08270910-10035,TRUE,TRUE,TRUE,VERIFIED,2023-10-11,,
LN-08270910-10036,TRUE,TRUE,,PENDING,2023-01-23,,0.59
LN-08270910-10037,TRUE,TRUE,,PENDING,2023-03-10,,0.8
LN-08270910-10038,TRUE,TRUE,TRUE,VERIFIED,2023-10-09,LEGACY-CODE-4087,
LN-08270910-10039,TRUE,,TRUE,PENDING,2023-07-21,,
LN-08270910-10040,FALSE,,,PENDING,2023-11-03,,
LN-08270910-10041,,FALSE,FALSE,PENDING,2023-08-18,,
LN-08270910-10042,TRUE,TRUE,FALSE,PENDING,2023-07-17,LEGACY-CODE-3613,
LN-08270910-10043,TRUE,FALSE,FALSE,PENDING,2023-10-03,LEGACY-CODE-1729,
LN-08270910-10044,,,TRUE,PENDING,2023-07-17,,
LN-08270910-10045,TRUE,,FALSE,PENDING,2023-11-13,LEGACY-CODE-7887,
LN-08270910-10046,TRUE,,FALSE,PENDING,2023-10-17,,
LN-08270910-10048,FALSE,FALSE,FALSE,NULL,2023-08-20,,
LN-08270910-10049,TRUE,TRUE,FALSE,PENDING,2023-08-31,,
LN-08270910-10050,TRUE,TRUE,TRUE,VERIFIED,2023-04-25,LEGACY-CODE-7321,
LN-08270910-10051,FALSE,FALSE,,PENDING,2023-11-03,,
LN-08270910-10052,TRUE,TRUE,TRUE,VERIFIED,INVALID_DATE,,
LN-08270910-10053,,FALSE,FALSE,PENDING,2023-12-30,,
LN-08270910-10054,TRUE,,FALSE,PENDING,2023-08-11,,0.77
LN-08270910-10055,,,FALSE,PENDING,2023-06-09,LEGACY-CODE-1039,
LN-08270910-10056,,FALSE,FALSE,PENDING,2023-01-22,,0.58
LN-08270910-10057,,TRUE,,PENDING,2023-07-18,,
LN-08270910-10058,TRUE,,FALSE,PENDING,2023-09-15,,
LN-08270910-10059,TRUE,TRUE,FALSE,PENDING,2023-12-11,,0.85
LN-08270910-10037,,FALSE,TRUE,PENDING,2023-05-01,,
LN-08270910-10061,FALSE,FALSE,TRUE,PENDING,2023-03-08,,
LN-08270910-10062,TRUE,TRUE,TRUE,VERIFIED,2023-05-26,LEGACY-CODE-2220,
LN-08270910-10063,TRUE,TRUE,TRUE,VERIFIED,2023-08-05,,
LN-08270910-10064,TRUE,TRUE,TRUE,PENDING,2023-12-20,LEGACY-CODE-8384,
LN-08270910-10065,FALSE,,TRUE,PENDING,2023-07-26,,0.84
LN-08270910-10066,TRUE,FALSE,,PENDING,2023-03-12,LEGACY-CODE-1739,
LN-08270910-10067,,TRUE,,PENDING,2023-09-08,,
LN-08270910-10068,,TRUE,TRUE,PENDING,2023-04-09,LEGACY-CODE-3769,
LN-08270910-10069,FALSE,FALSE,FALSE,PENDING,2023-01-02,,
LN-08270910-10070,TRUE,TRUE,TRUE,VERIFIED,2023-08-06,,
LN-08270910-10071,,FALSE,FALSE,PENDING,2023-03-10,,
LN-08270910-10072,TRUE,TRUE,TRUE,VERIFIED,2023-05-07,,
LN-08270910-10073,TRUE,TRUE,TRUE,VERIFIED,2023-03-04,,
LN-08270910-10074,,FALSE,,PENDING,2023-02-23,,
LN-08270910-10075,,FALSE,,PENDING,2023-10-03,,
LN-08270910-10076,TRUE,TRUE,TRUE,VERIFIED,2023-01-13,,
LN-08270910-10077,,,,PENDING,2023-11-28,,
LN-08270910-10078,TRUE,FALSE,TRUE,PENDING,2023-08-28,,
LN-08270910-10079,FALSE,,,PENDING,2023-02-19,,
LN-08270910-10080,,TRUE,,PENDING,2023-07-21,,
LN-08270910-10081,FALSE,TRUE,TRUE,PENDING,2023-01-12,,
LN-08270910-10082,,,TRUE,PENDING,2023-06-16,,0.54
LN-08270910-10083,TRUE,TRUE,TRUE,VERIFIED,2023-04-04,,0.89
LN-08270910-10084,TRUE,TRUE,TRUE,PENDING,2023-03-17,,
LN-08270910-10085,FALSE,TRUE,TRUE,PENDING,2023-10-12,,
LN-08270910-10086,FALSE,TRUE,TRUE,PENDING,2023-10-10,,
LN-08270910-10087,,,TRUE,PENDING,2023-01-22,,
LN-08270910-10088,FALSE,TRUE,,PENDING,2023-07-07,LEGACY-CODE-9522,
LN-08270910-10089,FALSE,,TRUE,PENDING,2023-09-02,,
LN-08270910-10090,,TRUE,FALSE,PENDING,2023-01-11,LEGACY-CODE-7477,
LN-08270910-10091,FALSE,,,PENDING,2023-01-25,LEGACY-CODE-7561,
LN-08270910-10092,FALSE,FALSE,,PENDING,2023-02-11,,
LN-08270910-10093,TRUE,TRUE,TRUE,VERIFIED,2023-07-22,,0.75
LN-08270910-10094,FALSE,,,PENDING,2023-05-07,LEGACY-CODE-6358,
LN-08270910-10095,FALSE,TRUE,,PENDING,2023-08-23,,
LN-08270910-10096,,FALSE,TRUE,PENDING,2023-11-01,LEGACY-CODE-7296,
LN-08270910-10097,FALSE,TRUE,FALSE,PENDING,2023-02-06,,
LN-08270910-10098,,,TRUE,PENDING,2023-10-04,,
LN-08270910-10099,TRUE,TRUE,TRUE,VERIFIED,2023-05-06,,0.59
LN-08270910-10100,,,,PENDING,2023-06-09,,
LN-08270910-10101,TRUE,,,PENDING,2023-06-20,LEGACY-CODE-2201,0.65
LN-08270910-10102,TRUE,,FALSE,PENDING,2023-08-13,LEGACY-CODE-1211,
LN-08270910-10103,,TRUE,,PENDING,2023-07-24,,
LN-08270910-10104,FALSE,FALSE,FALSE,PENDING,2023-05-09,,
LN-08270910-10105,FALSE,TRUE,FALSE,PENDING,2023-03-09,,
LN-08270910-10106,TRUE,TRUE,FALSE,PENDING,2023-08-25,,
LN-08270910-10107,TRUE,,FALSE,PENDING,2023-02-13,,0.54
LN-08270910-10108,TRUE,TRUE,TRUE,VERIFIED,2023-01-19,,
LN-08270910-10109,FALSE,FALSE,TRUE,PENDING,2023-02-02,,
LN-08270910-10110,FALSE,FALSE,,PENDING,2023-08-03,,
LN-08270910-10111,FALSE,FALSE,FALSE,MISSING,2023-11-16,LEGACY-CODE-1803,0.88
LN-08270910-10112,TRUE,FALSE,TRUE,PENDING,2023-01-09,,0.9
LN-08270910-10113,TRUE,TRUE,TRUE,VERIFIED,2023-08-17,,
LN-08270910-10114,FALSE,,TRUE,PENDING,2023-03-25,LEGACY-CODE-1275,
LN-08270910-10115,,,TRUE,PENDING,2024-13-45,LEGACY-CODE-8295,
LN-08270910-10116,TRUE,TRUE,FALSE,PENDING,2023-10-20,,
LN-08270910-10117,FALSE,FALSE,FALSE,PENDING,2023-09-05,,
LN-08270910-10118,,TRUE,TRUE,PENDING,2024-05-10,,0.7
LN-08270910-10119,TRUE,,TRUE,PENDING,2023-04-16,,
LN-08270910-10120,TRUE,TRUE,TRUE,VERIFIED,2023-08-11,,
LN-08270910-10121,FALSE,TRUE,FALSE,PENDING,2023-10-12,,
LN-08270910-10122,FALSE,FALSE,FALSE,MISSING,2023-05-20,LEGACY-CODE-6963,
LN-08270910-10123,FALSE,FALSE,FALSE,PENDING,2023-11-07,LEGACY-CODE-2138,
LN-08270910-10124,TRUE,FALSE,TRUE,PENDING,2023-07-23,,0.69
LN-08270910-10125,FALSE,FALSE,FALSE,MISSING,2023-10-09,,
LN-08270910-10126,FALSE,FALSE,FALSE,MISSING,2023-06-27,,0.68
LN-08270910-10127,,TRUE,,PENDING,2023-03-14,LEGACY-CODE-7083,
LN-08270910-10128,FALSE,,,PENDING,2023-06-19,,
LN-08270910-10129,FALSE,FALSE,FALSE,PENDING,2023-06-23,,
LN-08270910-10130,TRUE,TRUE,TRUE,VERIFIED,2023-09-09,,
LN-08270910-10131,TRUE,,,PENDING,2023-07-25,,0.56
LN-08270910-10132,FALSE,FALSE,TRUE,PENDING,2023-01-30,,
LN-08270910-10133,TRUE,,FALSE,PENDING,2023-04-28,,
LN-08270910-10134,FALSE,TRUE,FALSE,PENDING,2023-04-22,,0.62
LN-08270910-10135,TRUE,TRUE,TRUE,VERIFIED,2023-03-15,,
LN-08270910-10136,TRUE,FALSE,,PENDING,2023-05-05,,0.71
LN-08270910-10137,FALSE,TRUE,FALSE,PENDING,2023-07-19,,
LN-08270910-10138,TRUE,TRUE,FALSE,PENDING,2023-12-21,LEGACY-CODE-6470,0.56
LN-08270910-10139,,,,PENDING,2023-10-21,,
LN-08270910-10140,FALSE,TRUE,FALSE,PENDING,2023-02-14,,
LN-08270910-10141,TRUE,TRUE,TRUE,VERIFIED,2023-12-08,,0.74
LN-08270910-10142,TRUE,TRUE,TRUE,VERIFIED,2023-02-01,LEGACY-CODE-9619,
LN-08270910-10143,TRUE,TRUE,TRUE,VERIFIED,2023-09-20,,0.6
LN-08270910-10144,,FALSE,,PENDING,2023-11-14,,
LN-08270910-10145,FALSE,,FALSE,PENDING,2023-09-13,,
LN-08270910-10146,TRUE,,TRUE,PENDING,2023-08-29,,0.63
LN-08270910-10147,TRUE,FALSE,TRUE,PENDING,2023-11-23,,
LN-08270910-10148,TRUE,TRUE,TRUE,VERIFIED,2023-04-12,,0.93
LN-08270910-10149,FALSE,FALSE,FALSE,PENDING,2024.05.10,LEGACY-CODE-5364,0.8
LN-08270910-10150,,,TRUE,PENDING,2023-11-30,LEGACY-CODE-2412,
LN-08270910-10151,TRUE,,TRUE,PENDING,2023-07-02,,
LN-08270910-10152,FALSE,FALSE,,PENDING,2023-06-13,,
LN-08270910-10153,TRUE,TRUE,TRUE,VERIFIED,2023-11-05,,
LN-08270910-10154,FALSE,,,PENDING,2023-09-26,LEGACY-CODE-8997,
LN-08270910-10155,,,TRUE,PENDING,2023-06-20,LEGACY-CODE-1606,
LN-08270910-10157,TRUE,TRUE,TRUE,VERIFIED,2023-08-05,LEGACY-CODE-1580,
LN-08270910-10158,TRUE,,TRUE,PENDING,2023-11-12,,
LN-08270910-10159,TRUE,TRUE,TRUE,VERIFIED,2023-05-06,LEGACY-CODE-2520,
LN-08270910-10160,,FALSE,,PENDING,2023-05-18,,
LN-08270910-10161,TRUE,FALSE,TRUE,PENDING,2023-04-15,,
LN-08270910-10162,FALSE,,FALSE,PENDING,2023-08-22,,
LN-08270910-10163,,,,PENDING,2023-07-24,,
LN-08270910-10164,,,TRUE,PENDING,2023-06-16,,0.83
LN-08270910-10165,FALSE,,FALSE,PENDING,2023-11-18,,0.97
LN-08270910-10166,FALSE,,TRUE,PENDING,2023-08-02,LEGACY-CODE-5139,
LN-08270910-10167,TRUE,TRUE,TRUE,VERIFIED,2023-06-14,,
LN-08270910-10168,TRUE,TRUE,TRUE,VERIFIED,2023-12-10,,
LN-08270910-10169,FALSE,FALSE,FALSE,MISSING,2023-08-26,,
LN-08270910-10171,,TRUE,,PENDING,2024.05.10,,
LN-08270910-10172,,FALSE,TRUE,PENDING,2023-05-22,,
LN-08270910-10173,TRUE,TRUE,TRUE,VERIFIED,2023-06-15,,
LN-08270910-10174,TRUE,,TRUE,PENDING,2023-05-17,LEGACY-CODE-5324,
LN-08270910-10175,,,TRUE,PENDING,2023-01-26,,
LN-08270910-10176,TRUE,TRUE,TRUE,VERIFIED,2023-07-01,,
LN-08270910-10177,,,FALSE,PENDING,2023-12-24,,
LN-08270910-10082,,,FALSE,PENDING,2023-02-25,,
LN-08270910-10180,FALSE,TRUE,TRUE,PENDING,2023-03-25,,
LN-08270910-10181,TRUE,TRUE,TRUE,VERIFIED,2023-06-30,LEGACY-CODE-6841,0.86
LN-08270910-10182,FALSE,TRUE,,PENDING,2023-05-26,,0.56
LN-08270910-10183,,FALSE,FALSE,PENDING,2023-04-06,,
LN-08270910-10184,TRUE,FALSE,FALSE,PENDING,2023-09-17,,
LN-08270910-10185,TRUE,TRUE,TRUE,VERIFIED,2023-12-27,LEGACY-CODE-8645,
LN-08270910-10186,TRUE,TRUE,TRUE,VERIFIED,2023-01-13,LEGACY-CODE-9049,
LN-08270910-10187,TRUE,,FALSE,PENDING,2023-04-25,,
LN-08270910-10188,,FALSE,FALSE,PENDING,2023-09-11,,
LN-08270910-10189,,,TRUE,PENDING,2023-02-22,,
LN-08270910-10190,TRUE,,FALSE,PENDING,2023-07-14,,
LN-08270910-10190,TRUE,,FALSE,INCOMPLETE,2023-07-14,,
LN-08270910-10191,TRUE,,FALSE,PENDING,2023-03-28,,
LN-08270910-10192,,,TRUE,PENDING,2023-08-07,,
LN-08270910-10193,,,TRUE,PENDING,2023-01-11,,
LN-08270910-10194,FALSE,TRUE,FALSE,PENDING,2023-03-20,,0.9
LN-08270910-10195,TRUE,FALSE,,PENDING,2023-01-11,,
LN-08270910-10196,,TRUE,FALSE,PENDING,2023-11-14,,
LN-08270910-10197,,FALSE,FALSE,PENDING,2023-05-22,,0.86
LN-08270910-10198,TRUE,TRUE,TRUE,VERIFIED,2023-09-01,LEGACY-CODE-7396,
LN-08270910-10199,TRUE,TRUE,TRUE,VERIFIED,2023-07-08,LEGACY-CODE-4833,
LN-08270910-10200,TRUE,FALSE,TRUE,PENDING,2023-04-10,,
LN-08270910-10201,TRUE,TRUE,TRUE,VERIFIED,2023-04-28,,
LN-08270910-10202,FALSE,TRUE,TRUE,PENDING,2023-11-23,LEGACY-CODE-9918,
LN-08270910-10203,FALSE,,TRUE,PENDING,2023-02-27,,
LN-08270910-10204,FALSE,FALSE,,PENDING,2023-08-09,,0.96
LN-08270910-10205,TRUE,FALSE,TRUE,PENDING,2023-09-02,,
LN-08270910-10206,FALSE,TRUE,TRUE,PENDING,2023-07-22,,
LN-08270910-10207,FALSE,FALSE,TRUE,PENDING,2023-03-12,,
LN-08270910-10208,FALSE,,,PENDING,2023-09-17,,
LN-08270910-10208,FALSE,,,INCOMPLETE,2023-09-17,,
LN-08270910-10209,TRUE,,FALSE,PENDING,2023-05-10,,0.52
LN-08270910-10210,TRUE,,TRUE,PENDING,2023-06-27,,0.52
LN-08270910-10211,TRUE,TRUE,TRUE,VERIFIED,2023-05-19,,
LN-08270910-10212,,,TRUE,PENDING,2023-03-24,,
LN-08270910-10213,,FALSE,TRUE,PENDING,2023-10-07,,
LN-08270910-10214,TRUE,TRUE,TRUE,VERIFIED,2023-07-05,,
LN-08270910-10215,FALSE,TRUE,,PENDING,2023-06-03,,
LN-08270910-10216,,,,PENDING,2023-06-21,,0.92
LN-08270910-10217,TRUE,TRUE,TRUE,VERIFIED,2023-09-16,LEGACY-CODE-7878,
LN-08270910-10218,,FALSE,TRUE,PENDING,2023-08-24,LEGACY-CODE-5529,
LN-08270910-10219,FALSE,TRUE,FALSE,PENDING,2023-07-19,,
LN-08270910-10220,FALSE,FALSE,TRUE,PENDING,2023-06-12,,0.96
LN-08270910-10221,,TRUE,FALSE,PENDING,2023-11-25,,
LN-08270910-10222,TRUE,TRUE,TRUE,VERIFIED,2023-01-28,,
LN-08270910-10223,,FALSE,FALSE,PENDING,2023-06-08,LEGACY-CODE-3590,
LN-08270910-10224,FALSE,,FALSE,PENDING,2023-02-21,,
LN-08270910-10225,TRUE,TRUE,TRUE,VERIFIED,2023-09-15,LEGACY-CODE-6096,
LN-08270910-10226,,,TRUE,PENDING,2023-09-11,,
LN-08270910-10227,TRUE,,,PENDING,2023-10-26,LEGACY-CODE-8299,
LN-08270910-10228,,,TRUE,PENDING,2023-04-01,,
LN-08270910-10229,FALSE,,,PENDING,2023-06-22,LEGACY-CODE-8610,
LN-08270910-10230,FALSE,FALSE,FALSE,PENDING,2023-06-02,,
LN-08270910-10231,FALSE,,FALSE,PENDING,2023-04-06,,
LN-08270910-10232,FALSE,TRUE,TRUE,PENDING,2023-12-22,,
LN-08270910-10233,,FALSE,FALSE,PENDING,2023-02-26,LEGACY-CODE-6762,0.52
LN-08270910-10234,FALSE,FALSE,,PENDING,2023-08-15,,
LN-08270910-10235,,,FALSE,PENDING,2023-02-01,,
LN-08270910-10236,FALSE,TRUE,FALSE,PENDING,2023-05-06,LEGACY-CODE-1307,
LN-08270910-10237,,FALSE,,PENDING,2023-04-24,,
LN-08270910-10238,,TRUE,FALSE,PENDING,2023-06-30,,0.72
LN-08270910-10239,,FALSE,FALSE,PENDING,2023-02-13,,
LN-08270910-10240,TRUE,FALSE,,PENDING,2023-05-08,,0.64
LN-08270910-10241,TRUE,TRUE,TRUE,PENDING,2023-07-29,,
LN-08270910-10242,TRUE,,TRUE,PENDING,2023-04-13,,
LN-08270910-10243,FALSE,FALSE,FALSE,MISSING,2023-01-29,LEGACY-CODE-6638,
LN-08270910-10244,TRUE,TRUE,TRUE,VERIFIED,2023-01-03,LEGACY-CODE-3204,
