loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system,custom_risk_score,unmapped_vendor_data
LN-08270910-10001,BW-08270910-10001,AUTO,2023-07-01,2028-06-04,145726.82,71172.86,7.18,60,GA,BUSINESS_EXPANSION,F,5 years,$25k-$50k,CLOSED,0,BetaServicing,2023-08-30,2026-08-27,PENDING,MANUAL_EXCEL,,
LN-08270910-10002,BW-08270910-10002,PERSONAL,2023-01-18,2052-08-13,253483.64,160452.98,6.37,360,CA,BUSINESS_EXPANSION,E,< 1 year,$75k-$100k,CURRENT,0,DeltaServicing,2023-03-19,2026-08-27,VERIFIED,MANUAL_EXCEL,EXT-RISK-606,VENDOR-TAG-79
LN-08270910-10003,BW-08270910-10003,PERSONAL,2024-05-10,2022-05-10,170360.41,51523.15,12.84,120,OH,DEBT_CONSOLIDATION,A,2 years,<$25k,LATE_90,97,BetaServicing,2023-04-22,2026-08-27,PENDING,ORIGINATION_API,EXT-RISK-782,
LN-08270910-10004,BW-08270910-10004,AUTO,2023-04-08,2027-03-18,237277.88,72803.17,8.17,48,NY,AUTO_PURCHASE,B,2 years,$50k-$75k,DEFAULT,138,BetaServicing,2023-06-07,2026-08-27,PENDING,LOS_ALPHA,,
LN-08270910-10004,BW-08270910-10005,AUTO,2023-02-28,2052-09-23,161296.95,65774.7,14.4,360,IL,AUTO_PURCHASE,E,10+ years,<$25k,LATE_60,85,GammaServicing,2023-04-29,2026-08-27,PENDING,MANUAL_EXCEL,,
LN-08270910-10006,BW-08270910-10006,PERSONAL,2023-12-07,2027-11-16,275132.89,210229.6,15.34,48,XX,HOME_PURCHASE,C,10+ years,$50k-$75k,LATE_60,84,GammaServicing,2024-02-05,2026-08-27,PENDING,MANUAL_EXCEL,,VENDOR-TAG-79
LN-08270910-10007,BW-08270910-10007,STUDENT,2023-08-01,2033-06-09,129433.45,54275.04,16.48,120,NY,HOME_PURCHASE,C,5 years,<$25k,CURRENT,0,GammaServicing,2023-09-30,2026-08-27,VERIFIED,SERVICER_CSV,,
LN-08270910-10008,BW-08270910-10008,AUTO,2023-07-31,2026-07-15,215155.55,73533.89,-5.0,36,IL,AUTO_PURCHASE,C,2 years,$100k+,LATE_30,49,BetaServicing,2023-09-29,2026-08-27,PENDING,MANUAL_EXCEL,EXT-RISK-309,
LN-08270910-10009,BW-08270910-10009,AUTO,2023-05-22,2027-05-01,242731.63,45000.0,14.39,48,TX,AUTO_PURCHASE,C,5 years,<$25k,CLOSED,84,BetaServicing,2023-07-21,2026-08-27,PENDING,SERVICER_CSV,EXT-RISK-909,
LN-08270910-10010,BW-08270910-10010,COMMERCIAL,2023-11-27,2033-10-05,71305.52,23678.65,11.09,120,GA,AUTO_PURCHASE,F,2 years,$25k-$50k,LATE_30,55,GammaServicing,2024-01-26,2026-08-27,PENDING,MANUAL_EXCEL,,
