loan_id,servicer_id,updated_current_balance,updated_payment_status,updated_days_past_due,last_payment_date,servicer_as_of_date,unexpected_audit_flag,servicer_raw_notes
LN-08270910-10001,SERV-01,71172.86,CLOSED,0,2023-08-30,2026-08-27,,
LN-08270910-10002,SERV-02,160452.98,CURRENT,0,2023-03-19,2026-08-27,,Servicer note line 2
LN-08270910-10003,SERV-02,51523.15,LATE_90,97,2023-04-22,2026-08-27,,
LN-08270910-10004,SERV-02,72803.17,DEFAULT,138,2023-06-07,2026-08-27,,
LN-08270910-10004,SERV-01,65774.7,LATE_60,85,2023-04-29,2026-08-27,,Servicer note line 5
LN-08270910-10006,SERV-03,210229.6,LATE_60,84,2024-02-05,2026-08-27,,
LN-08270910-10007,SERV-02,54275.04,CURRENT,0,2023-09-30,2026-08-27,,
LN-08270910-10008,SERV-03,73533.89,LATE_30,49,2023-09-29,2026-08-27,,
LN-08270910-10009,SERV-02,45000.0,CLOSED,84,2023-07-21,2026-08-27,,
LN-08270910-10010,SERV-01,23678.65,LATE_30,55,2024-01-26,2026-08-27,,
LN-08270910-10011,SERV-02,70071.05,CURRENT,0,2023-11-20,2026-08-27,,
LN-08270910-10012,SERV-03,7115.93,CURRENT,0,2023-05-27,2026-08-27,,Servicer note line 12
LN-08270910-10013,SERV-02,45000.0,CLOSED,0,2023-08-27,2026-08-27,,
LN-08270910-10014,SERV-02,107168.68,CLOSED,0,2023-11-11,2026-08-27,,
LN-08270910-10015,SERV-02,12100.0,LATE_45,0,2023-04-28,2026-08-27,,
LN-08270910-10016,SERV-02,54176.27,CURRENT,0,2023-12-10,2026-08-27,,
LN-08270910-10017,SERV-01,62449.81,LATE_60,81,2023-05-18,2026-08-27,AUDIT-FLAG-3,
LN-08270910-10018,SERV-01,89683.03,CURRENT,0,2023-12-12,2026-08-27,,
LN-08270910-10018,SERV-01,89783.03,CURRENT,0,2023-12-12,2026-08-27,,
LN-08270910-10019,SERV-03,60883.5,LATE_30,40,2023-11-14,2026-08-27,,
LN-08270910-10020,SERV-03,136797.56,CLOSED,0,2023-10-05,2026-08-27,,
LN-08270910-10021,SERV-03,24280.53,LATE_30,54,2023-12-10,2026-08-27,,
LN-08270910-10022,SERV-02,6186.97,CURRENT,0,2023-05-08,2026-08-27,,
LN-08270910-10023,SERV-03,99473.96,CURRENT,0,2023-10-11,2026-08-27,,
LN-08270910-10024,SERV-03,5298.62,CLOSED,0,2023-07-12,2026-08-27,,
LN-08270910-10025,SERV-01,36447.26,LATE_30,52,2023-10-04,2026-08-27,,
LN-08270910-10026,SERV-02,190137.51,CLOSED,0,2023-11-28,2026-08-27,AUDIT-FLAG-1,
LN-08270910-10027,SERV-03,91635.27,LATE_30,42,2023-03-20,2026-08-27,,
LN-08270910-10028,SERV-02,100034.79,LATE_90,117,2023-09-22,2026-08-27,,
LN-08270910-10029,SERV-03,110535.01,LATE_30,48,2023-08-04,2026-08-27,,Servicer note line 29
LN-08270910-10030,SERV-01,20970.75,LATE_30,46,2023-08-29,2026-08-27,,
LN-08270910-10031,SERV-03,160775.29,CURRENT,0,2024-01-10,2026-08-27,,
LN-08270910-10032,SERV-02,75439.56,LATE_30,51,2023-08-30,2026-08-27,AUDIT-FLAG-2,Servicer note line 32
LN-08270910-10033,SERV-02,174875.47,LATE_90,91,2023-06-04,2026-08-27,,
LN-08270910-10034,SERV-01,32509.78,LATE_90,96,2023-04-20,2026-08-27,,Servicer note line 34
LN-08270910-10035,SERV-03,84298.02,CURRENT,0,2023-12-10,2026-08-27,,
LN-08270910-10036,SERV-03,9246.9,CLOSED,0,2023-03-24,2026-08-27,,Servicer note line 36
LN-08270910-10037,SERV-01,164764.43,CLOSED,0,2023-05-09,2026-08-27,AUDIT-FLAG-3,
LN-08270910-10038,SERV-01,95068.46,CURRENT,0,2023-12-08,2026-08-27,,Servicer note line 38
LN-08270910-10039,SERV-01,175018.1,LATE_60,73,2023-09-19,2026-08-27,,Servicer note line 39
LN-08270910-10040,SERV-03,8501.81,LATE_30,35,2024-01-02,2026-08-27,,
LN-08270910-10041,SERV-02,79995.11,LATE_60,68,2023-10-17,2026-08-27,,Servicer note line 41
LN-08270910-10042,SERV-01,-128370.96,LATE_30,58,2023-09-15,2026-08-27,,Servicer note line 42
LN-08270910-10043,SERV-02,31723.47,CLOSED,0,2023-12-02,2026-08-27,,
LN-08270910-10043,SERV-02,31823.47,CLOSED,0,2023-12-02,2026-08-27,,
LN-08270910-10044,SERV-03,45000.0,CLOSED,54,2023-09-15,2026-08-27,,
LN-08270910-10045,SERV-02,167150.49,DEFAULT,337,2024-01-12,2026-08-27,,
LN-08270910-10046,SERV-03,73293.26,DEFAULT,147,2023-12-16,2026-08-27,,
LN-08270910-10048,SERV-02,46303.19,LATE_30,36,2023-10-19,2026-08-27,AUDIT-FLAG-5,
LN-08270910-10049,SERV-02,45000.0,CLOSED,72,2023-10-30,2026-08-27,AUDIT-FLAG-5,
LN-08270910-10050,SERV-01,175696.41,CURRENT,0,2023-06-24,2026-08-27,,
LN-08270910-10051,SERV-01,47728.19,LATE_30,40,2024-01-02,2026-08-27,,
LN-08270910-10052,SERV-01,30027.63,CURRENT,0,INVALID_DATE,2026-08-27,,
LN-08270910-10053,SERV-02,77935.99,DEFAULT,172,2024-02-28,2026-08-27,,
LN-08270910-10054,SERV-02,32070.45,LATE_30,56,2023-10-10,2026-08-27,,
LN-08270910-10055,SERV-01,25727.27,CLOSED,0,2023-08-08,2026-08-27,AUDIT-FLAG-3,Servicer note line 55
LN-08270910-10056,SERV-01,104024.5,CLOSED,0,2023-03-23,2026-08-27,,
LN-08270910-10057,SERV-01,184154.17,LATE_30,32,2023-09-16,2026-08-27,,
LN-08270910-10058,SERV-02,156799.65,CLOSED,0,2023-11-14,2026-08-27,AUDIT-FLAG-4,Servicer note line 58
LN-08270910-10059,SERV-02,37020.69,DEFAULT,297,2024-02-09,2026-08-27,,
LN-08270910-10037,SERV-02,45539.11,LATE_90,105,2023-06-30,2026-08-27,,
LN-08270910-10061,SERV-01,55721.41,LATE_30,53,2023-05-07,2026-08-27,,Servicer note line 61
LN-08270910-10062,SERV-02,202805.82,CURRENT,0,2023-07-25,2026-08-27,,
LN-08270910-10063,SERV-03,141461.04,CURRENT,0,2023-10-04,2026-08-27,,
LN-08270910-10064,SERV-03,13769.25,CLOSED,0,2024-02-18,2026-08-27,,
LN-08270910-10065,SERV-03,127936.22,DEFAULT,146,2023-09-24,2026-08-27,,
LN-08270910-10066,SERV-01,57899.61,CLOSED,0,2023-05-11,2026-08-27,,
LN-08270910-10067,SERV-03,103111.58,DEFAULT,336,2023-11-07,2026-08-27,,
LN-08270910-10068,SERV-02,50611.2,LATE_60,65,2023-06-08,2026-08-27,,
LN-08270910-10069,SERV-02,119842.62,LATE_30,52,2023-03-03,2026-08-27,AUDIT-FLAG-5,
LN-08270910-10070,SERV-03,87100.88,CURRENT,0,2023-10-05,2026-08-27,,Servicer note line 70
LN-08270910-10071,SERV-02,47770.01,CLOSED,0,2023-05-09,2026-08-27,,
LN-08270910-10072,SERV-02,28500.0,CURRENT,0,2023-07-06,2026-08-27,AUDIT-FLAG-3,
LN-08270910-10073,SERV-01,140504.87,CURRENT,0,2023-05-03,2026-08-27,AUDIT-FLAG-5,
LN-08270910-10074,SERV-02,56837.44,LATE_90,103,2023-04-24,2026-08-27,,
LN-08270910-10075,SERV-01,73994.94,DEFAULT,151,2023-12-02,2026-08-27,,
LN-08270910-10075,SERV-01,74094.94,DEFAULT,151,2023-12-02,2026-08-27,,
LN-08270910-10076,SERV-01,37878.6,CURRENT,0,2023-03-14,2026-08-27,,
LN-08270910-10077,SERV-01,91858.1,LATE_60,77,2024-01-27,2026-08-27,AUDIT-FLAG-4,
LN-08270910-10078,SERV-02,140753.82,DEFAULT,343,2023-10-27,2026-08-27,,Servicer note line 78
LN-08270910-10079,SERV-02,43606.54,LATE_60,60,2023-04-20,2026-08-27,,
LN-08270910-10080,SERV-01,11597.03,CLOSED,0,2023-09-19,2026-08-27,AUDIT-FLAG-1,
LN-08270910-10081,SERV-03,62211.34,LATE_60,61,2023-03-13,2026-08-27,,
LN-08270910-10082,SERV-01,21427.51,LATE_30,32,2023-08-15,2026-08-27,,
LN-08270910-10083,SERV-01,31407.66,CURRENT,0,2023-06-03,2026-08-27,AUDIT-FLAG-4,
LN-08270910-10084,SERV-03,28500.0,DEFAULT,166,2023-05-16,2026-08-27,AUDIT-FLAG-5,
LN-08270910-10085,SERV-01,61305.22,LATE_60,75,2023-12-11,2026-08-27,,
LN-08270910-10086,SERV-02,79974.54,LATE_30,40,2023-12-09,2026-08-27,,
LN-08270910-10087,SERV-01,131573.19,LATE_60,60,2023-03-23,2026-08-27,,
LN-08270910-10088,SERV-03,84694.11,LATE_30,35,2023-09-05,2026-08-27,AUDIT-FLAG-1,Servicer note line 88
LN-08270910-10089,SERV-01,72330.21,CLOSED,0,2023-11-01,2026-08-27,,
LN-08270910-10090,SERV-02,48824.57,DEFAULT,346,2023-03-12,2026-08-27,,
LN-08270910-10091,SERV-03,75965.95,LATE_90,108,2023-03-26,2026-08-27,,Servicer note line 91
LN-08270910-10092,SERV-01,123575.63,LATE_90,0,2023-04-12,2026-08-27,AUDIT-FLAG-3,
LN-08270910-10093,SERV-02,24807.43,CURRENT,0,2023-09-20,2026-08-27,AUDIT-FLAG-2,
LN-08270910-10094,SERV-03,111845.69,LATE_90,95,2023-07-06,2026-08-27,AUDIT-FLAG-2,
LN-08270910-10095,SERV-01,45000.0,CLOSED,82,2023-10-22,2026-08-27,,
LN-08270910-10096,SERV-03,114145.05,DEFAULT,177,2023-12-31,2026-08-27,,Servicer note line 96
LN-08270910-10097,SERV-01,40511.22,LATE_60,63,2023-04-07,2026-08-27,,
LN-08270910-10098,SERV-02,42443.58,LATE_30,52,2023-12-03,2026-08-27,AUDIT-FLAG-3,
LN-08270910-10099,SERV-01,105449.19,CURRENT,0,2023-07-05,2026-08-27,,
LN-08270910-10100,SERV-02,18952.79,LATE_90,90,2023-08-08,2026-08-27,,
LN-08270910-10101,SERV-03,52522.97,LATE_60,79,2023-08-19,2026-08-27,,Servicer note line 101
LN-08270910-10102,SERV-02,60574.94,CLOSED,0,2023-10-12,2026-08-27,,Servicer note line 102
LN-08270910-10103,SERV-03,15149.27,LATE_90,104,2023-09-22,2026-08-27,,
LN-08270910-10104,SERV-01,127244.98,CLOSED,0,2023-07-08,2026-08-27,,
LN-08270910-10105,SERV-03,28334.97,LATE_60,76,2023-05-08,2026-08-27,,
LN-08270910-10106,SERV-03,28934.3,CLOSED,0,2023-10-24,2026-08-27,AUDIT-FLAG-2,
LN-08270910-10107,SERV-03,39998.82,LATE_30,37,2023-04-14,2026-08-27,AUDIT-FLAG-2,Servicer note line 107
LN-08270910-10108,SERV-02,67822.17,CURRENT,0,2023-03-20,2026-08-27,,
LN-08270910-10109,SERV-01,18981.61,LATE_60,61,2023-04-03,2026-08-27,,
LN-08270910-10110,SERV-03,70898.7,LATE_60,63,2023-10-02,2026-08-27,,
LN-08270910-10111,SERV-01,98930.69,LATE_60,82,2024-01-15,2026-08-27,,
LN-08270910-10112,SERV-03,109113.36,LATE_60,82,2023-03-10,2026-08-27,,
LN-08270910-10113,SERV-03,68470.88,CURRENT,0,2023-10-16,2026-08-27,,
LN-08270910-10114,SERV-02,28500.0,LATE_60,63,2023-05-24,2026-08-27,,
LN-08270910-10115,SERV-01,60219.43,DEFAULT,234,2024-13-45,2026-08-27,AUDIT-FLAG-3,Servicer note line 115
LN-08270910-10116,SERV-03,20431.9,DEFAULT,149,2023-12-19,2026-08-27,,
LN-08270910-10117,SERV-02,49465.74,LATE_90,114,2023-11-04,2026-08-27,,
LN-08270910-10118,SERV-03,55600.18,CLOSED,0,2024-01-18,2026-08-27,,
LN-08270910-10119,SERV-02,77796.49,LATE_90,30,2023-06-15,2026-08-27,,
LN-08270910-10120,SERV-03,7376.62,CURRENT,0,2023-10-10,2026-08-27,,
LN-08270910-10121,SERV-02,212112.73,LATE_30,59,2023-12-11,2026-08-27,,
LN-08270910-10122,SERV-01,99829.29,CURRENT,0,2023-07-19,2026-08-27,,Servicer note line 122
LN-08270910-10123,SERV-03,23829.42,LATE_60,86,2024-01-06,2026-08-27,,
LN-08270910-10124,SERV-01,31660.84,DEFAULT,339,2023-09-21,2026-08-27,AUDIT-FLAG-3,
LN-08270910-10125,SERV-02,5739.03,CURRENT,0,2023-12-08,2026-08-27,AUDIT-FLAG-4,
LN-08270910-10126,SERV-03,9293.53,LATE_90,104,2023-08-26,2026-08-27,,
LN-08270910-10127,SERV-02,74388.69,CLOSED,0,2023-05-13,2026-08-27,,Servicer note line 127
LN-08270910-10128,SERV-01,37510.6,DEFAULT,145,2023-08-18,2026-08-27,AUDIT-FLAG-2,
